Customer Id,Product Id,Review Body,Review Year,Review Headline,Star Rating
,2242052,It still holds up after 15 years. I can re read this book over and over and still love it.,04/27/2009 0:00,One of my favorite novels of all time.,5
,2242052,"I know I'm going to aggravate most die hard Clancy fans by giving this three stars but hey, it's an 'OK' book.  Could have been about 300 pages less and still got his point across. I did like how Kelly took out an entire gang with ease throughout the book. It just seemed like there was too much going on for all this to be believable though. Come on, the guy is planning a raid on a Vietnam POW camp like the real life 'Bo Gritz' and at the same time is putting away the local bloods and crips with a K Bar.This book would have gotten a better rating for me if less time was spent on the rehab of a drug addict and more time spent on the POW camp raid. (I had no idea before reading this book that it was also about American POW's so that was a nice surprise.) All that buildup for.... Well I don't want to spoil anything but there only about 3 pages out of the 750 that dealt with the snatch of that Russian officer. I think that in the time frame we were dealing with, the local cops wouldn't have cared much if a guy was wasting the local drug dealers. Maybe in today's world they would have to put on a dog and pony show with interviews and the whole nine after pressure from civil rights, but not in the late 60's early 70's.In the end, this book falls short of explaining to the reader exactly why Clark is the special ops/covert guy he is today.",10/18/2005 0:00,Taking Black Ops to the Hood,3
,2242052,"This book is a departure from the formula of his previous works like Clear and Present Danger, and Patriot Games.  It is a story of revenge taken by Clancy's CIA operative John Clark.  We see how Clark came to be who he is  in the Jack Ryan novels.  This book was fantastic and it is recomended to  all as are all of Clancy's novels.",05/07/2000 0:00,Unique among Clancy novels,4
,2242052,I ordered this book to be mailed to my son in a correctional institution - he thought it was VERY good.,08/28/2011 0:00,Review,5
,2242052,"to me the only things i didn't like were it seemed too long, in some of the chapters there were more than one story. what i mean is you were reading about a and the next minute b and sometimes c. there might be people who don't mind this but i'm not a fan. i guess other than  my nit picking it was not a bad book.",06/21/2014 0:00,long?,4
,2242052,"I would not recommend this book.  As nearly all Clancy books it is looooong.  In this book Clancy attempts to develop the history of the character \John Clark\"" aka John Kelly.  But",," to my mind was tortuously unbelievable.  I simply do not believe that Kelly's character would have acknowledged these crimes particularly since he went to such great lengths to protect himself.  Kelly also gets improbably sloppy at the end which to my mind was completely out of character.This will be my last Clancy book.  The promise revealed in \""The Hunt for Red October\"" and developed in subsequent novels seems to have run aground.""",
,2242052,"Clancy's works are exemplars of this school of suspense novel, which is largely driven by endless boring descriptions of infernal devices, catalogs of weaponry and technical specifications of their capabilities rather than character, dialog or even a credible plot. This particular book wastes nearly a thousand words describing how to make a pistol silencer -- which I suppose would be useful if I needed one or had the marine machine shop the hero uses to manufacture it. The plot is ridiculous and the hero is a dipstick who manages to get a woman killed because he is so stupid he drives with her into the ghetto to look for a dope dealer. It's idiotic, but that's what Hollywood wants these days. . .",04/04/2014 0:00,The Popular Mechanics School of Thriller,2
,2242052,Great character development. Straight forward believable plot. Good assembly of reoccurring characters from other Clancy Books. Very tough to put down.,04/04/2013 0:00,Best of all the Clancy books,5
,2242052,"Tom Clancy has created several fictional heroes that are at the heart of his many novels. One, of course, is John Patrick Ryan, who has served his country as a Marine, CIA officer, National Security Adviser, and President of the United States.  With the exception of Red Storm Rising (a book that is not set in Clancy's &quot;Ryan-verse&quot;), Jack Ryan appears or is talked about in every novel from The Hunt for Red October to The Teeth of the Tiger.The other major character Clancy readers have come to admire is John Clark, a man who works for the other side of the Agency as a paramilitary officer.  Whether he is in Colombia using a laser target designator to help bomb a Medellin Cartel member's mansion or leading a multinational antiterrorist team called Rainbow, Clark is the type of man our government needs to use while denying his existence.But John Clark has a past wrapped in mystery, one his family doesn't know much about and is a closely guarded secret.  For John Clark was once ex-SEAL John T. Kelly, Vietnam veteran, avid diver and sailor.But when Kelly's girlfriend is brutally murdered by a Baltimore drug lord's henchmen, the otherwise peacable and war-weary Kelly vows revenge. Dispensing his own version of street justice relentlessly and without remorse, Kelly must not only avoid being killed by the drug dealers, but he also has to evade the dogged detective work of Baltimore cop Emmett Ryan, a World War II vet and father of the future President.Adding to his already complicated life, Admiral James Greer recruits Kelly to participate in a daring rescue mission into North Vietnam.  But when a radicalized American antiwar activist gets wind of this secret military operation, events will drive John Terence Kelly down a path that he never intended to take.Although published 11 years after The Hunt for Red October, this taut and thrilling novel is the first chapter of the long-running Jack Ryan saga.  If you are just entering the Ryan-verse, read this entertaining book first.",09/26/2003 0:00,Revenge without remorse....,5
,2242052,"Without Remorse is by far my favorite Tom Clancy novel. John Kelly, also known in later novels as \John Clark",,she does so in order to help the other girls still in captivity. Unfortunately,
