tenure,msf_with_vat,credit_rating,credit_limit,days_remaining,ooc_tag,area_group,handset_type,dos,total_rev_amt_m0,ob_onnet_call_min_m0,ob_globe_call_min_m0,ob_sun_call_min_m0,ob_oth_call_min_m0,ob_intl_call_min_m0,ib_onnet_call_min_m0,ib_globe_call_min_m0,ib_sun_call_min_m0,ib_oth_call_min_m0,ib_intl_call_min_m0,sms_onnet_m0,sms_offnet_m0,sms_intl_m0,data_vol_mb_m0,total_rev_amt_l3m,ob_onnet_call_min_l3m,ob_globe_call_min_l3m,ob_sun_call_min_l3m,ob_oth_call_min_l3m,ob_intl_call_min_l3m,ib_onnet_call_min_l3m,ib_globe_call_min_l3m,ib_sun_call_min_l3m,ib_oth_call_min_l3m,ib_intl_call_min_l3m,sms_onnet_l3m,sms_offnet_l3m,sms_intl_l3m,data_vol_mb_l3m,sr_count_l3m,bill_amt_m0,bill_amt_m1,bill_amt_m2,paid_amt_m0,paid_amt_m1,paid_amt_m2,payment_l3m,churn_inactive_flag_m1
52.16666667,0,10200,0.0,0,1,NCR,\N,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.0,7.0,0.0,0.0,0.0,0,0
47.93333333,0,10201,0.0,0,1,NCR,\N,1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.51,-0.51,-0.51,0.0,0.0,0.0,0,0
46.2,0,10201,0.0,0,1,NCR,\N,1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-454.69,-454.69,-454.69,0.0,0.0,0.0,0,0
47.23333333,0,10201,0.0,0,1,NCR,\N,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14.96,-14.96,-14.96,0.0,0.0,0.0,0,0
48.96666667,0,10201,0.0,0,1,NCR,,1464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.51,-0.51,-0.51,0.0,0.0,0.0,0,0
49.03333333,0,10200,0.0,0,1,NL,\N,1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.6,18.6,18.6,0.0,0.0,0.0,0,0
49.2,0,10201,0.0,0,1,NCR,,1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-454.69,-454.69,-454.69,0.0,0.0,0.0,0,0
48.16666667,0,10201,0.0,0,1,NCR,\N,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-14.96,-14.96,-14.96,0.0,0.0,0.0,0,0
81.6,0,10900,0.0,0,1,NCR,SMARTPHONE LTE,0,14.99,0.0,0.0,0.0,8.158,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.02871227264,-18.63333333,0.0,0.0,0.0,5.438666667,0.0,0.0,0.0,0.0,-0.063,0.0,1.0,-2.666666667,0.0,0.01718584696,0,25.57,50.58,673.84,0.0,60.0,674.15,2,0
51.3,0,10200,0.0,0,1,NCR,SMARTPHONE LTE,1,24.98,0.0,0.0,0.0,9.6835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,16.65333333,0.0,0.0,0.0,-1.193555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.728899956,0,0.0,0.0,550.97,0.0,0.0,550.97,1,0
52.33333333,0,10200,0.0,0,1,NCR,SMARTPHONE LTE,13,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.9901351929,-1.673333333,0.0,0.0,0.0,-7.561166667,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,0.0,0.0,-7.068809827,0,24.98,0.0,0.0,0.0,0.0,0.0,0,0
40.33333333,0,10900,50.0,0,1,CL,\N,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.46,-0.46,-0.46,0.0,0.0,0.0,0,0
74.2,0,10201,50.0,0,1,NCR,SMARTPHONE LTE,0,24.08,0.0,6.31783334,0.0,0.0,0.0,11.08200001,5.8595,2.33549999,8.63816666,0.0,0,5,0,0.001661300659,-22.60333333,0.0,4.211888893,0.0,0.0,0.0,2.39844445,1.693055557,-65.97305556,2.009555553,0.0,-0.6666666667,-0.6666666667,0.0,-26.75630474,2,3.33,8.42,-13.55,100.0,100.0,0.0,2,0
76.16666667,0,10201,50.0,0,1,NCR,SMARTPHONE LTE,1,16.98,0.0,0.0,0.0,0.0,0.0,48.0445,0.34083333,7.268,8.44233333,0.0,0,8,0,0.008019447327,-24.70333333,0.0,-2.105944447,0.0,0.0,0.0,26.42105555,-1.725944447,3.05088889,2.29488889,0.0,-2.666666667,1.666666667,0.0,0.003830273946,4,12.31,-71.68,3.33,100.0,0.0,100.0,2,0
